input,labels,input_len,preprocessed
"Hey , give me some good ideas .",0,8,"Hey , give me some good idea ."
 A girl is asking her boyfriend what kind of part does he love about her .,0,17, A girl is asking her boyfriend what kind of part doe he love about her .
"However , I longed for American life due to my American home .",1,13,"However , I longed for American life due to my American home ."
 undertake,1,2, undertake
What s it called ?,1,5,What s it called ?
"There are two computers on a big desk , bookshelf with full of books and carpet that offers cozy space for chatting with my family and for reading books .",0,30,"There are two computer on a big desk , bookshelf with full of book and carpet that offer cozy space for chatting with my family and for reading book ."
"Those will be burned after dried and , completed after about a month from today .",0,16,"Those will be burned after dried and , completed after about a month from today ."
"As I wrote in my last diary , I went to see the firework display in Sydney Harbour .",1,19,"As I wrote in my last diary , I went to see the firework display in Sydney Harbour ."
"If you look for something , ",0,7,"If you look for something , "
I am not good at riding a snowboard .,1,9,I am not good at riding a snowboard .
" This seminar , which will pay special attention to the needs and conditions of average translators and interpreters . ",1,21," This seminar , which will pay special attention to the need and condition of average translator and interpreter . "
"you know , There are a number of people willing to spend money on what they want to buy it , such like a clothes , car .",0,28,"you know , There are a number of people willing to spend money on what they want to buy it , such like a clothes , car ."
I know what they really mean when scolding !,0,9,I know what they really mean when scolding !
"Due to the event , I was depressed all day .",1,11,"Due to the event , I wa depressed all day ."
The program is a program learning English .,0,8,The program is a program learning English .
I had a nothing to do today .,0,8,I had a nothing to do today .
It s well known that pirated discs are overabundant in China .,1,12,It s well known that pirated disc are overabundant in China .
"Hello , I need help with a geography PowerPoint presentation project .",1,12,"Hello , I need help with a geography PowerPoint presentation project ."
please tell me what music you like XD .,0,9,please tell me what music you like XD .
Would you drive with me ?,1,6,Would you drive with me ?
It was disappointed that japan football team lost the game yesterday .,0,12,It wa disappointed that japan football team lost the game yesterday .
After that we enjoyed shopping till pm !,1,8,After that we enjoyed shopping till pm !
It was my second time playing with her .,1,9,It wa my second time playing with her .
"However , it is difficult for me to program go .",1,11,"However , it is difficult for me to program go ."
Every day we have less time and we need to do more things .,1,14,Every day we have le time and we need to do more thing .
"I often chat on Skype , and I like to exchange e - mail .",1,15,"I often chat on Skype , and I like to exchange e - mail ."
"Australian research team revealed that they have extracted DNA from egg shell fossils of extinct birds like Moa , Elephant birds first time in the world .",0,27,"Australian research team revealed that they have extracted DNA from egg shell fossil of extinct bird like Moa , Elephant bird first time in the world ."
It is said that people celebrates the founding of the nation in the day .,0,15,It is said that people celebrates the founding of the nation in the day .
Never had I thought he is a instructor after taking his class .,0,13,Never had I thought he is a instructor after taking his class .
"By the way , I have something to tell you .",0,11,"By the way , I have something to tell you ."
"Though I can not tell you all , thank you !",0,11,"Though I can not tell you all , thank you !"
Last Saturday I started learning German .,1,7,Last Saturday I started learning German .
At first it had been spent many hours writing and I had no idea what to write .,1,18,At first it had been spent many hour writing and I had no idea what to write .
This is one of the reasons why the toss of a coin is nt common .,1,16,This is one of the reason why the toss of a coin is nt common .
"But I saw my friend , whose name is Daniel .",1,11,"But I saw my friend , whose name is Daniel ."
Perhaps he might be wrong but .,1,7,Perhaps he might be wrong but .
Today is Wednesday .,1,4,Today is Wednesday .
"I went there again and again , but I did not know about the tree .",1,16,"I went there again and again , but I did not know about the tree ."
I have really wanted to go there for a long while .,1,12,I have really wanted to go there for a long while .
and then i took many pictures of vegetation .,0,9,and then i took many picture of vegetation .
 - Extension,1,3, - Extension
"Day by day , I am getting better at English and able to make some friends .",1,17,"Day by day , I am getting better at English and able to make some friend ."
I could nt sleep well last night and I also woke up at midnight .,1,15,I could nt sleep well last night and I also woke up at midnight .
I am not sure if I have the time for that but I will try to find it somewhere .,1,20,I am not sure if I have the time for that but I will try to find it somewhere .
I miscalculated a few times and had to rewrite it each time .,1,13,I miscalculated a few time and had to rewrite it each time .
They cost yen or yen each ,1,7,They cost yen or yen each 
"His other books introduce efficient tips like how to take a bath , good foods and cooking recipes etc .",1,20,"His other book introduce efficient tip like how to take a bath , good food and cooking recipe etc ."
Anybodies have hopes and fears in them life away .,0,10,Anybodies have hope and fear in them life away .
We met at the company where we both previously worked .,1,11,We met at the company where we both previously worked .
I am eighteen .,0,4,I am eighteen .
You can see the beauty and tender feeling of her .,1,11,You can see the beauty and tender feeling of her .
It is so different from that of US .,0,9,It is so different from that of US .
So today is very good weather so I have washed the windows .,1,13,So today is very good weather so I have washed the window .
I do not know why I was coughing so many times .,0,12,I do not know why I wa coughing so many time .
Will you please tell me your major ?,1,8,Will you please tell me your major ?
"If I tell someone good - bye , I believe I can see them again .",1,16,"If I tell someone good - bye , I believe I can see them again ."
Victor Frankl has given us a hint to this question .,0,11,Victor Frankl ha given u a hint to this question .
"Importing data , Backup data , tuning and maintaining the DBMS .",0,12,"Importing data , Backup data , tuning and maintaining the DBMS ."
Hope you enjoy your college life !,0,7,Hope you enjoy your college life !
However I do not speak English well !,1,8,However I do not speak English well !
"In fact , I even do not have strong desire to win .",0,13,"In fact , I even do not have strong desire to win ."
"Though satellites are needed for h system , other ones are not in plan at all .",0,17,"Though satellite are needed for h system , other one are not in plan at all ."
"Esteemed jury , take a look to this man standing in the accused dock .",0,15,"Esteemed jury , take a look to this man standing in the accused dock ."
An old plum tree bloomed in my garden .,0,9,An old plum tree bloomed in my garden .
We was wearing red t - shirts and changed,0,9,We wa wearing red t - shirt and changed
I think that it should be so interesting for me .,1,11,I think that it should be so interesting for me .
"Later this month , the airport is east parallel runway and the seldom used east - west runway will be closed to change signage to their new designations .",0,29,"Later this month , the airport is east parallel runway and the seldom used east - west runway will be closed to change signage to their new designation ."
It was very sweet and delicious .,1,7,It wa very sweet and delicious .
about homework,0,2,about homework
She advised really carefully .,1,5,She advised really carefully .
"Not only iPad , for example , many of the software , TV - games or something for hobby which would be released around . , were decided to stop or delay in stores .",1,35,"Not only iPad , for example , many of the software , TV - game or something for hobby which would be released around . , were decided to stop or delay in store ."
It is made of wood got from thinning of a forest .,0,12,It is made of wood got from thinning of a forest .
"I have learnt English for many years , but since I became a university student and began to learn Japanese , I have spent almost no time on learning English , so I forget it quickly .",1,37,"I have learnt English for many year , but since I became a university student and began to learn Japanese , I have spent almost no time on learning English , so I forget it quickly ."
I will go abroad this winter .,0,7,I will go abroad this winter .
I think you can be able to do it .,0,10,I think you can be able to do it .
"Especially Djembe , that is my favorite .",1,8,"Especially Djembe , that is my favorite ."
"PS there may still have many mistakes in my homework , looking forword for your correction !",0,17,"PS there may still have many mistake in my homework , looking forword for your correction !"
I will save money .,0,5,I will save money .
It is the season for prom .,1,7,It is the season for prom .
"I do not know if nail polishes are famous out there , but here in Brazil they are totally a fever !",0,22,"I do not know if nail polish are famous out there , but here in Brazil they are totally a fever !"
I had no head .,1,5,I had no head .
It turned out that this tragedy resulted from a rear part collision while landing years ago .,1,17,It turned out that this tragedy resulted from a rear part collision while landing year ago .
university is very high therefore my English is not good .,1,11,university is very high therefore my English is not good .
"All in all , ",1,5,"All in all , "
So I am late starting my job . The people in the HR .,1,14,So I am late starting my job . The people in the HR .
He always taught the same way .,1,7,He always taught the same way .
But I am poor in English .,0,7,But I am poor in English .
 Which college are you from ?,1,7, Which college are you from ?
" That night , sitting before the fire , the old man told his wife what had happened .",0,19," That night , sitting before the fire , the old man told his wife what had happened ."
I joined tennis club on junnior high school and highscool .,0,11,I joined tennis club on junnior high school and highscool .
 Entries for ,1,4, Entries for 
i really feel i do not have time in the morning .,0,12,i really feel i do not have time in the morning .
"These days , I study English .",1,7,"These day , I study English ."
"When I have finished work , I just want to lie and sleep on the ground .",1,17,"When I have finished work , I just want to lie and sleep on the ground ."
it always make me confused that English people looks do not like to use umbrella .,0,16,it always make me confused that English people look do not like to use umbrella .
Today is - .,0,4,Today is - .
Actually he just dropped by to pick up his sports uniform for school and to leave his changed clothes and pajamas home .,0,23,Actually he just dropped by to pick up his sport uniform for school and to leave his changed clothes and pajama home .
But there was no one around me that could be teacher of me .,0,14,But there wa no one around me that could be teacher of me .
"I know that starting a business is so difficult and very risky , but it s not sure whether or not it will succeed unless you start .",1,28,"I know that starting a business is so difficult and very risky , but it s not sure whether or not it will succeed unless you start ."
I had to work from to so there is no other way .,0,13,I had to work from to so there is no other way .
DAMN IT !,0,3,DAMN IT !
It would be nice for a change .,1,8,It would be nice for a change .
Is that correct ?,0,4,Is that correct ?
"However , every place was so crowded with a long queue",0,11,"However , every place wa so crowded with a long queue"
I envy her .,1,4,I envy her .
I think very sad .,0,5,I think very sad .
It is kind of spiritual magazine .,0,7,It is kind of spiritual magazine .
I love Christmas - and I am not a Christian .,1,11,I love Christmas - and I am not a Christian .
It runs western area of Tokyo .,0,7,It run western area of Tokyo .
I can feel the gentle wind from the sea and breathe the fresh air .,1,15,I can feel the gentle wind from the sea and breathe the fresh air .
He is one of my favorite authors and I have already had a few books both in Japanese and in English .,1,22,He is one of my favorite author and I have already had a few book both in Japanese and in English .
I am always relaxed and happy to take my foreign friends around Asakusa because it is a very good way to show the traditional goodness of Japanese culture to my friends and they are sure to get excited during the visit .,1,42,I am always relaxed and happy to take my foreign friend around Asakusa because it is a very good way to show the traditional goodness of Japanese culture to my friend and they are sure to get excited during the visit .
I live in the house with my sister and mother .,1,11,I live in the house with my sister and mother .
But my mother and my family took comfort from Grace .,0,11,But my mother and my family took comfort from Grace .
Finally we check the all answers together .,0,8,Finally we check the all answer together .
Specifically for Hotter,1,3,Specifically for Hotter
"Braveheart - the film directed by Mel Gibson , tells the story of fighting the Scottish men against the British yoke , an absolute masterpiece !",0,26,"Braveheart - the film directed by Mel Gibson , tell the story of fighting the Scottish men against the British yoke , an absolute masterpiece !"
I was really happy to hear that .,0,8,I wa really happy to hear that .
Annoying Lang - Users,0,4,Annoying Lang - Users
then formers whose vegetables are not bolluted by radioactivity is suffring form this prohibitation . ,0,16,then former whose vegetable are not bolluted by radioactivity is suffring form this prohibitation . 
I am on .,1,4,I am on .
One of the reasons is that there is more waste water today than at any other time in the history of our planet .,1,24,One of the reason is that there is more waste water today than at any other time in the history of our planet .
How does not a knife hit a plate ?,0,9,How doe not a knife hit a plate ?
This new measure has laeded to some mixture .,0,9,This new measure ha laeded to some mixture .
Wow . .,0,3,Wow . .
"He stopped giving his students reports , but instead , he introduced a presentation , discussion , and examination in his class .",1,23,"He stopped giving his student report , but instead , he introduced a presentation , discussion , and examination in his class ."
"However , the main reason is lots of demand from the north western Japan areas which were hit by the big earth quake .",1,24,"However , the main reason is lot of demand from the north western Japan area which were hit by the big earth quake ."
recently i am living with my owner and her family .,0,11,recently i am living with my owner and her family .
Tiredness schedules to do sports energetically tomorrow though is full it .,0,12,Tiredness schedule to do sport energetically tomorrow though is full it .
Public schools do not have to do anything to gather students .,0,12,Public school do not have to do anything to gather student .
loved Scarlet Johanson after I watched this movie first .,0,10,loved Scarlet Johanson after I watched this movie first .
I want to know what do they say Japanese comedy in English ,0,13,I want to know what do they say Japanese comedy in English 
Others ,1,2,Others 
Curry rice ,1,3,Curry rice 
i m happpy to making a pouse these days .,0,10,i m happpy to making a pouse these day .
When I was a child video games were one of my hobbies that I enjoyed the most .,1,18,When I wa a child video game were one of my hobby that I enjoyed the most .
Many small make a great .,0,6,Many small make a great .
Help me . I ca nt sleep until I solve this problem .,0,13,Help me . I ca nt sleep until I solve this problem .
I google it .,0,4,I google it .
In Japan almost people are getting moving .,0,8,In Japan almost people are getting moving .
"Moreover , I am cutting back on snacks .",1,9,"Moreover , I am cutting back on snack ."
"Well , the pottery were exported to European countries from Imari port , ",0,14,"Well , the pottery were exported to European country from Imari port , "
 I will tell dad about you ! and I wo not give you dinner ! .,1,17, I will tell dad about you ! and I wo not give you dinner ! .
He answered Yes i have but there are some in London .,0,12,He answered Yes i have but there are some in London .
I was going to great pains to study English .,0,10,I wa going to great pain to study English .
Source of investment profit,0,4,Source of investment profit
"But , Most people loved him . Although he was sometimes described as a trouble maker on the ground by some columnists , many people loved the passion , his you have to kill me out here because I will never die attidude .",0,44,"But , Most people loved him . Although he wa sometimes described a a trouble maker on the ground by some columnist , many people loved the passion , his you have to kill me out here because I will never die attidude ."
because the shop we arrived was to get woman by money .,0,12,because the shop we arrived wa to get woman by money .
The boss is wife is designer of clothes and she lived in Kyoto about ten years ago to study aizen - zome .,0,23,The bos is wife is designer of clothes and she lived in Kyoto about ten year ago to study aizen - zome .
"I am doing the same with Korean words , which I pick up in Korean dramas I have been watching with my husband .",0,24,"I am doing the same with Korean word , which I pick up in Korean drama I have been watching with my husband ."
There are a lot of foreigners in my school .,1,10,There are a lot of foreigner in my school .
last weekend .,1,3,last weekend .
I really hope this site would not be shut down in the future .,0,14,I really hope this site would not be shut down in the future .
It is because of my bad habit .,1,8,It is because of my bad habit .
"Last year , Norway won .",0,6,"Last year , Norway won ."
"From now on , I will watch this movie and re - find my way .",0,16,"From now on , I will watch this movie and re - find my way ."
Then why did he ask me lol ?,1,8,Then why did he ask me lol ?
"It was interesting , but expensive .",1,7,"It wa interesting , but expensive ."
Today is part is from - ,1,7,Today is part is from - 
"However , sadly , it has been losing its flavor , since I put it in the refrigerator .",1,19,"However , sadly , it ha been losing it flavor , since I put it in the refrigerator ."
Today I have a new test .,1,7,Today I have a new test .
"In Tokyo , it is cold today !",1,8,"In Tokyo , it is cold today !"
 - Why do not you invite your friends everyday ?,0,11, - Why do not you invite your friend everyday ?
You always have a warm heart .,0,7,You always have a warm heart .
"Or , or , I ca not figure out because there are so many reasons I have .",0,18,"Or , or , I ca not figure out because there are so many reason I have ."
"One of them was a Japanese but she has been here for more than half of her life , so she can speak English as well as Japanese . Jealous !",1,31,"One of them wa a Japanese but she ha been here for more than half of her life , so she can speak English a well a Japanese . Jealous !"
football tournament in south America,0,5,football tournament in south America
"Probably , the temperature was under degrees .",0,8,"Probably , the temperature wa under degree ."
I think writing diary by another language is very hard for all of the people because it is made many work and thinking .,0,24,I think writing diary by another language is very hard for all of the people because it is made many work and thinking .
I would visit some places .,1,6,I would visit some place .
Through this communication I will study the culture and history of the country and develop my listening skills .,1,19,Through this communication I will study the culture and history of the country and develop my listening skill .
It was for that purpose that I could invent cars to go everywhere and at any time and translation equipment which translated from any language into my own language .,1,30,It wa for that purpose that I could invent car to go everywhere and at any time and translation equipment which translated from any language into my own language .
"I like Linkin park , U , oasis , Nirvana , Foo Fighters .",0,14,"I like Linkin park , U , oasis , Nirvana , Foo Fighters ."
"Before I watched this movie , I had a negative image like , Yuck , The eyes of the characters are too big , disguesting ! or The story would be too simple and boring . ",0,37,"Before I watched this movie , I had a negative image like , Yuck , The eye of the character are too big , disguesting ! or The story would be too simple and boring . "
Maybe I m getting old . ,0,7,Maybe I m getting old . 
"As a Japanese person , they have interesting things about Japan that I am glad to hear .",1,18,"As a Japanese person , they have interesting thing about Japan that I am glad to hear ."
"So , today I felt flesh all things because it was an entirely new experience for me .",1,18,"So , today I felt flesh all thing because it wa an entirely new experience for me ."
Their disruptive behavior can not be cured in a short time .,0,12,Their disruptive behavior can not be cured in a short time .
It is not ?,0,4,It is not ?
Today morning was too much cold .,0,7,Today morning wa too much cold .
How can I live more days this weekend ?,1,9,How can I live more day this weekend ?
"I was almost crying , but I also held back .",0,11,"I wa almost cry , but I also held back ."
He used to play sad melodies in the thicket of the enchanted forest .,0,14,He used to play sad melody in the thicket of the enchanted forest .
Today is a very cold and windy day .,1,9,Today is a very cold and windy day .
The leaves change their color to red in November .,1,10,The leaf change their color to red in November .
"If I do not put the gloves on my hands , I would get two flavored popsicles .",0,18,"If I do not put the glove on my hand , I would get two flavored popsicle ."
"However , after I watched it , the impression changed totally .",1,12,"However , after I watched it , the impression changed totally ."
every day .,1,3,every day .
It was the first time I had been present at this meeting .,1,13,It wa the first time I had been present at this meeting .
This american system was created to help people keep their houses clean .,0,13,This american system wa created to help people keep their house clean .
The blog is written in very casual Japanese and has some pictures attached .,1,14,The blog is written in very casual Japanese and ha some picture attached .
"This is my Saturday , ",1,6,"This is my Saturday , "
they often stand there with their eyes wide open haha I love that look haha,0,15,they often stand there with their eye wide open haha I love that look haha
Then I listened to some Eminem is songs and Jay - Z Kanye West latest single .,0,17,Then I listened to some Eminem is song and Jay - Z Kanye West latest single .
"After the shopping , we went to try clothes which we are going to wear in our wedding party .",0,20,"After the shopping , we went to try clothes which we are going to wear in our wedding party ."
I post the lylics and the translation into English .,0,10,I post the lylics and the translation into English .
It felt very scary and little happy .,1,8,It felt very scary and little happy .
I want to be a billionaire to make my family happy .,1,12,I want to be a billionaire to make my family happy .
"If you have , follow me !",1,7,"If you have , follow me !"
 - I just do not smoke weed !,1,9, - I just do not smoke weed !
"In this way , Japanese corporations try to improve a relationship with a region and doing there business well .",1,20,"In this way , Japanese corporation try to improve a relationship with a region and doing there business well ."
I was so tired after I walked almost six hours .,0,11,I wa so tired after I walked almost six hour .
 elephant elephant,0,3, elephant elephant
I went there with my cousin .,0,7,I went there with my cousin .
This is the first time for me to keep a diary on this service .,1,15,This is the first time for me to keep a diary on this service .
"A bus can accomodate many people , ",0,8,"A bus can accomodate many people , "
Recovering my iPod touch,1,4,Recovering my iPod touch
Do you know a good dentist . I introduced the best dentist i know .,0,15,Do you know a good dentist . I introduced the best dentist i know .
"Is not that cool , mom ?",0,7,"Is not that cool , mom ?"
"Once , people needed to spend lots of time on those processes , but now by using computers they reduce the time on these tasks .",1,26,"Once , people needed to spend lot of time on those process , but now by using computer they reduce the time on these task ."
I had a test of my inner soul .,0,9,I had a test of my inner soul .
"He looks serious , crossing his arms in front of him .",1,12,"He look serious , crossing his arm in front of him ."
"I believe there are many people in the US who do not know the small city , Davis .",0,19,"I believe there are many people in the US who do not know the small city , Davis ."
You might be Cryed from some relationships .,1,8,You might be Cryed from some relationship .
I would like to acquire this skill and use it in my work effectively in the latter half of this year .,1,22,I would like to acquire this skill and use it in my work effectively in the latter half of this year .
I bought a colour box so I paint my illustrations easily .,1,12,I bought a colour box so I paint my illustration easily .
Now I hope it is in my car .,0,9,Now I hope it is in my car .
I just overslept and used paid holiday .,0,8,I just overslept and used paid holiday .
"Now , I am in this store .",1,8,"Now , I am in this store ."
"Even though when she was in elementary school , she studied hard to get a high score because getting a high score enables her to enter a high quality junior high .",1,32,"Even though when she wa in elementary school , she studied hard to get a high score because getting a high score enables her to enter a high quality junior high ."
I noticed that he used a lot of like but this like does not have an original meaning .,1,19,I noticed that he used a lot of like but this like doe not have an original meaning .
I m wavering in my life .,0,7,I m wavering in my life .
Thank you for reading !,0,5,Thank you for reading !
"Consequently , I can not help thinking much about what life will be like at your age .",1,18,"Consequently , I can not help thinking much about what life will be like at your age ."
"I am so busy , so busy !",1,8,"I am so busy , so busy !"
"As a professional customer service , I take my passion to service everyone that is my pressure make customers smile , because that is our object .",0,27,"As a professional customer service , I take my passion to service everyone that is my pressure make customer smile , because that is our object ."
Today was cold too .,0,5,Today wa cold too .
but the fees were high for me .,1,8,but the fee were high for me .
Then I used a book card .,0,7,Then I used a book card .
Speak Talk,0,2,Speak Talk
"with Smokers who want to quit smoking , the only thing they need is strong desire to do it .",0,20,"with Smokers who want to quit smoking , the only thing they need is strong desire to do it ."
I want to take a rest more !Because summer is too hot to concentrate my work .,0,17,I want to take a rest more !Because summer is too hot to concentrate my work .
Welcome to the Anthropocene,1,4,Welcome to the Anthropocene
"I read an economist opinion on paper that said Big company should set up a day - care center for children . Same paper said the Itochu , a famous trading company , set up the day - care center .",0,41,"I read an economist opinion on paper that said Big company should set up a day - care center for child . Same paper said the Itochu , a famous trading company , set up the day - care center ."
"The alarm did not quit immediately , so I stopped cooking and called the concierge to see what had happened .",1,21,"The alarm did not quit immediately , so I stopped cooking and called the concierge to see what had happened ."
"Today , I knew last month is mobile phone is buill .",0,12,"Today , I knew last month is mobile phone is buill ."
I still remember it was a really beautiful and mysterious situation .,0,12,I still remember it wa a really beautiful and mysterious situation .
"Until I see her , I will brush me up .",0,11,"Until I see her , I will brush me up ."
"It precedes to express the feeling there is no need to thank you so much , or no problem .",1,20,"It precedes to express the feeling there is no need to thank you so much , or no problem ."
I am going to wait for tomorrow is morning .,0,10,I am going to wait for tomorrow is morning .
"These days it is freezing cold , but my heart is very warm ! !",1,15,"These day it is freezing cold , but my heart is very warm ! !"
Also I saw people who study hard for their goal .,0,11,Also I saw people who study hard for their goal .
Affection came from my heart .,1,6,Affection came from my heart .
The Byzantine Emperor Basis were busy to be on the campaign to subjugate Bulgarians .,0,15,The Byzantine Emperor Basis were busy to be on the campaign to subjugate Bulgarians .
"So , it is a holiday for me .",1,9,"So , it is a holiday for me ."
And I could not understand the story .,0,8,And I could not understand the story .
So she ca not go to a kindergarden .,0,9,So she ca not go to a kindergarden .
"Now , I would like to talk about the teacher I respect the most .",1,15,"Now , I would like to talk about the teacher I respect the most ."
It was a little difficult but very interesting .,0,9,It wa a little difficult but very interesting .
I have just finished it .,1,6,I have just finished it .
"Our mainly English teachers are also Japanese , and we can sometimes take English classes from foreign teachers now .",0,20,"Our mainly English teacher are also Japanese , and we can sometimes take English class from foreign teacher now ."
"It was love story and comedy , you know ?",0,10,"It wa love story and comedy , you know ?"
"Furthermore , a teacher used a ball as a material in the activity .",1,14,"Furthermore , a teacher used a ball a a material in the activity ."
"To keep cool , I use air conditioning and electric fan .",0,12,"To keep cool , I use air conditioning and electric fan ."
I took my daughter to the pediatrics department for the vaccination to prevent influenza .,1,15,I took my daughter to the pediatrics department for the vaccination to prevent influenza .
I used to like Toscanini is recordings of Aida for the same reason .,1,14,I used to like Toscanini is recording of Aida for the same reason .
"If I can go up to , I am satisfied .",1,11,"If I can go up to , I am satisfied ."
"A few days ago , I watched My Fair Lady , which is known as one of the most famous musical films .",1,23,"A few day ago , I watched My Fair Lady , which is known a one of the most famous musical film ."
Of course I was tired .,0,6,Of course I wa tired .
And yesterday was men is ? day .,0,8,And yesterday wa men is ? day .
Please wish me good luck .,1,6,Please wish me good luck .
not egoism,1,2,not egoism
"On my last trip I went to Ampuero . It is a tiny town in the Community of Cantabria , in the north of Spain .",1,26,"On my last trip I went to Ampuero . It is a tiny town in the Community of Cantabria , in the north of Spain ."
"Usually , I go to work at late .",0,9,"Usually , I go to work at late ."
Why am I writing this journal ? ?,0,8,Why am I writing this journal ? ?
It said that the price is cheaper at the end of the exhibit day .,1,15,It said that the price is cheaper at the end of the exhibit day .
"I asked him if I could take a picture of the inside , and attached is the one .",1,19,"I asked him if I could take a picture of the inside , and attached is the one ."
Please correct me !,0,4,Please correct me !
"Hello , friends .",1,4,"Hello , friend ."
Essay What is needed for success ?,1,7,Essay What is needed for success ?
Because I had wanted to create a lot of design .,0,11,Because I had wanted to create a lot of design .
Please tell me what music you like XD .,1,9,Please tell me what music you like XD .
Of course I am writing this diary with this keyboard .,1,11,Of course I am writing this diary with this keyboard .
Is it true ?,0,4,Is it true ?
It is necessary and important for me to enter an university .,0,12,It is necessary and important for me to enter an university .
"Health is really , really , really important .",0,9,"Health is really , really , really important ."
I love photos .,1,4,I love photo .
I really like Australia .,0,5,I really like Australia .
My hair is divided on the left side .,1,9,My hair is divided on the left side .
"I think I can save energy by turning off the lights and heating system , though it is a very tiny amount .",1,23,"I think I can save energy by turning off the light and heating system , though it is a very tiny amount ."
 Study the book and collect all the knowledge in the book,1,12, Study the book and collect all the knowledge in the book
My name is Ann .,0,5,My name is Ann .
"Therefore , I like to watch golf .",0,8,"Therefore , I like to watch golf ."
I felt a trickster .,0,5,I felt a trickster .
"It is effective for the total body muscle , joints , and cardio .",0,14,"It is effective for the total body muscle , joint , and cardio ."
Hello everyone !,0,3,Hello everyone !
"On the other hand , in some other areas , where people have adequate water supply , the phenomenon of wasting water is quite common .",1,26,"On the other hand , in some other area , where people have adequate water supply , the phenomenon of wasting water is quite common ."
"To learn them , I often have mini test .",0,10,"To learn them , I often have mini test ."
Most of her style of songs is rock and folk .,1,11,Most of her style of song is rock and folk .
learn Korean and we can be a good friend !,0,10,learn Korean and we can be a good friend !
I do not think I can get along well with my computer or any kinds of machines .,1,18,I do not think I can get along well with my computer or any kind of machine .
Also I was back in secondary school .,1,8,Also I wa back in secondary school .
Now I see how many threads I missed watching this film actually as a child .,1,16,Now I see how many thread I missed watching this film actually a a child .
I just feel depressed and do not know what to do or how .,1,14,I just feel depressed and do not know what to do or how .
My eyes were half closed all the time .,1,9,My eye were half closed all the time .
"I hope that the government changes this annoying system and creates a more convenient system , such as an Internet - based system .",1,24,"I hope that the government change this annoying system and creates a more convenient system , such a an Internet - based system ."
I hope he will play games with smile next year .,0,11,I hope he will play game with smile next year .
one is view,0,3,one is view
Docomo started a campaign and I can buy smartphone cheaper than usual if I buy it during Auguest .,0,19,Docomo started a campaign and I can buy smartphone cheaper than usual if I buy it during Auguest .
It is very polite way .,0,6,It is very polite way .
So I just sat down while wondering .,1,8,So I just sat down while wondering .
Is it because of feeling that the volunteer work is hypocritical somewhere ?,0,13,Is it because of feeling that the volunteer work is hypocritical somewhere ?
So I want to try to write what I think .,0,11,So I want to try to write what I think .
I hope to improve my English here .,1,8,I hope to improve my English here .
Came back,1,2,Came back
"I had a long walk , went to Freshness Burger , listened to music that I like , let my mind drift back over random things , and tidied my stuff a bit .",1,34,"I had a long walk , went to Freshness Burger , listened to music that I like , let my mind drift back over random thing , and tidied my stuff a bit ."
It was a kind of torture .,1,7,It wa a kind of torture .
I hope to speak English well someday .,1,8,I hope to speak English well someday .
Where people would be sent to the immigration area .,0,10,Where people would be sent to the immigration area .
"He has two little children , and he just buy a new house in last november .",0,17,"He ha two little child , and he just buy a new house in last november ."
Short entry ,0,3,Short entry 
It made me awaken and gave me courage .,0,9,It made me awaken and gave me courage .
I think that I want to study English .,1,9,I think that I want to study English .
"Also , the wedding ceremony or funeral can take more than a week to be concluded .",1,17,"Also , the wedding ceremony or funeral can take more than a week to be concluded ."
"After the class , I will go to his favorite Japanese food restaurant .",1,14,"After the class , I will go to his favorite Japanese food restaurant ."
I really felt amazed .,1,5,I really felt amazed .
"First off , my friends did not want to watch it but I recommended them to watch it because this movie is made by Disney .",1,26,"First off , my friend did not want to watch it but I recommended them to watch it because this movie is made by Disney ."
Then I found it quite difficult to fix so small parts ,1,12,Then I found it quite difficult to fix so small part 
Do you believe in macro - anomalies ?,0,8,Do you believe in macro - anomaly ?
I used to like Toscanini is recordings for Aida for the same reason .,0,14,I used to like Toscanini is recording for Aida for the same reason .
"So , I want to see snow even tomorrow morning .",0,11,"So , I want to see snow even tomorrow morning ."
the public outcry over those new security measure continues to grow .,0,12,the public outcry over those new security measure continues to grow .
I have to study English and Pedagogy .,0,8,I have to study English and Pedagogy .
"It is so stressful to be here , and I do not want to talk , ",0,17,"It is so stressful to be here , and I do not want to talk , "
"Theoretically , the number of ways of tying a tie is .",1,12,"Theoretically , the number of way of tying a tie is ."
"However , I arrived there , I had a very good time , because the party gave me the opportunity to talk with some foreign people .",0,27,"However , I arrived there , I had a very good time , because the party gave me the opportunity to talk with some foreign people ."
Is this true ?,1,4,Is this true ?
"As to say , we do not talk about the characters in the book first , but the book images the author is desirability . Everyone can get deference and blessedness .",1,32,"As to say , we do not talk about the character in the book first , but the book image the author is desirability . Everyone can get deference and blessedness ."
Very handsom !,0,3,Very handsom !
But Q II was not my only love at that time .,0,12,But Q II wa not my only love at that time .
I saw the rainbow .,0,5,I saw the rainbow .
Today was voting day .,1,5,Today wa voting day .
But now I will try constantly write here anything .,0,10,But now I will try constantly write here anything .
Dear Prof .,1,3,Dear Prof .
comma a new sentence,1,4,comma a new sentence
So I ca not feel relaxed talking with her .,0,10,So I ca not feel relaxed talking with her .
I saw a doctor for allegic test today .,0,9,I saw a doctor for allegic test today .
I want to spend my youth with you .,1,9,I want to spend my youth with you .
"I want to go somewhere , but I do not have any way to go .",1,16,"I want to go somewhere , but I do not have any way to go ."
